Codigo Convocatoria,Nombre del Oferente,Area del Conocimiento,Nombre del programa,Nombre del País,Fecha de Recepción -mm/dd/aaaa,Perfil del Aplicante,Objetivo del Programa
2233116.0,GOBIERNO DE LA INDIA,INGENIERIA Y AFINES,SUSTAINABLE AGRICULTURE STRATEGIES FOR RURAL DEVELOPMENT,India (República de India),,"El programa está dirigido a profesionales en ingeniería agrícola- agrónoma- ambiental y otras áreas afines. Los candidatos deben estar laborando actualmente y tener mínimo 5 años de experiencia profesional relacionada con el curso. Deben ser mayores de 25 años y menores de 45 años de edad. Tener un promedio de notas mínimo de 3-7/5-0. Poseer buenos conocimientos del idioma inglés con prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- MET B2) u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o posgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés. No haber recibido capacitación a través del Programa ITEC del Gobierno de la India anteriormente. Deben gozar de buena salud física y mental. Los Preseleccionados deberán presentar entrevista en la Embajada de la India si la Embajada lo considera pertinente. LOS ASPIRANTES DEBEN ENVIAR 3 PAQUETES DE DOCUMENTOS POR SEPARADO- EXACTAMENTE IGUALES Y CADA PAQUETE DEBE CONTENER LOS DOCUMENTOS EN EL ORDEN ESTABLECIDO EN LA PRESENTE CONVOCATORIA. LOS CANDIDATOS DEBEN DILIGENCIAR ABSOLUTAMENTE TODOS LOS ESPACIOS DE LOS FORMULARIOS SIN EXCEPCIÓN- NO ES ACEPTABLE EL ""N/A"" (No aplica) . LAS PERSONAS QUE NO DILIGENCIEN COMPLETAMENTE LOS FORMULARIOS QUEDARÁN EXCLUIDAS DEL PROCESO.",El objetivo del curso es ofrecer herramientas para entender estrategias de agricultura sostenible para el desarrollo rural a través de la profundización en temas como la reducción de la pobreza- planeación- conceptos y enfoques- técnicas de planeación incluyente- planeación espacial- manejo de recursos- monitoreo y evaluación.
4100614.0,ALIANZA DEL PACÍFICO-CHILE-MÉXICO-PERÚ,DIFERENTES AREAS,PLATAFORMA DE MOVILIDAD ESTUDIANTIL Y ACADÉMICA DE LA ALIANZA DEL PACÍFICO - PREGRADO - CHILE,Chile (República de Chile),11/28/2013 12:00:00 AM,El programa está dirigido a estudiantes universitarios que hayan aprobado como mínimo el quinto semestre de los siguientes programas: negocios- finanzas- comercio internacional- administración pública- ciencia política- turismo- economía- relaciones Internacionales- medio ambiente y cambio climático- otras como ingenierías- ciencia y tecnología- ciencias exactas- entre otros siempre que se ajusten a los objetivos de la Alianza del Pacífico ligados a relaciones comerciales e internacionales y para realizar un semestre de movilidad académica en universidades participantes de la Alianza Pacífico en Chile.  REQUISITOS: El aspirante debe contar con la admisión definitiva al programa de la universidad en el marco de esta alianza y tener promedio de notas universitarias de 3-7/5-0.  Deben gozar de muy buena salud física y mental.,El objetivo del Programa de Becas de Movilidad Estudiantil y Académica de la Alianza del Pacifico es contribuir a la formación de capital humano avanzado de los nacionales de los países miembros de la Alianza del Pacífico a través del intercambio académico de estudiantes de pregrado en universidades chilenas.
5202316.0,GOBIERNO DE LA INDIA,ADMINISTRACIÓN,POST GRADUATE DIPLOMA IN HUMAN RESOURCE PLANNING AND DEVELOPMENT,India (República de India),,"El programa está dirigido a profesionales de sectores públicos y privados en áreas como administración de empresas- administración pública- ingeniería industrial- psicólogos y otras áreas afines que actualmente se desempeñen en funciones relacionadas con el curso. Los candidatos deben tener mínimo 5 años de experiencia profesional relacionada con el curso y deben ser mayores de 25 años y menores de 45 años de edad. Tener un promedio de notas mínimo de 3-7/5-0. Poseer buenos conocimientos del idioma inglés con prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- MET B2) u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o posgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés. No haber recibido capacitación a través del Programa ITEC del Gobierno de la India anteriormente. Deben gozar de buena salud física y mental. Los Preseleccionados deberán presentar entrevista en la Embajada de la India si la Embajada lo considera pertinente. LOS ASPIRANTES DEBEN ENVIAR 3 PAQUETES DE DOCUMENTOS POR SEPARADO- EXACTAMENTE IGUALES Y CADA PAQUETE DEBE CONTENER LOS DOCUMENTOS EN EL ORDEN ESTABLECIDO EN LA PRESENTE CONVOCATORIA. LOS CANDIDATOS DEBEN DILIGENCIAR ABSOLUTAMENTE TODOS LOS ESPACIOS DE LOS FORMULARIOS SIN EXCEPCIÓN- NO ES ACEPTABLE EL ""N/A"" (No aplica) . LAS PERSONAS QUE NO DILIGENCIEN COMPLETAMENTE LOS FORMULARIOS QUEDARÁN EXCLUIDAS DEL PROCESO.",El objetivo del programa es proveer una revisión teorética acerca del campo de la planeación y desarrollo de los recursos humanos- los participantes estudiarán los procesos sociales- políticos y económicos y las tendencias relacionadas con la práctica de esta área- finalmente el curso pretende fortalecer las capacidades analíticas de los participantes.
2000612.0,OEA - GOBIERNO DE BRASIL,DERECHO Y CIENCIAS POLITICAS,"XXXIX CURSO DE DERECHO INTERNACIONAL:  ""EL DERECHO Y LAS RELACIONES INTERNACIONALES ACTUALES",Brasil (República Federativa del Brasil),04/30/2012 12:00:00 AM,El programa está dirigido a profesionales en Derecho o Relaciones Internacionales que laboren en organismos gubernamentales- entidades de enseñanza superior o instituciones públicas o privadas- directamente vinculadas con el derecho internacional y las relaciones internacionales.   REQUISITOS: El aspirante debe tener un promedio de notas universitarias de 3-5/5-0- contar con experiencia profesional en derecho internacional y/o relaciones internacionales- no ser mayor de 40 años de edad- gozar de buena salud física y mental y tener buenos conocimientos del idioma inglés.   NOTA: Las clases son dictadas en español o en inglés.,Estudio- discusión y actualización de temas en derecho internacional público y privado- con énfasis en la temática general del curso- aunque no de manera exclusiva- ya que se abordarán además otros temas desde distintas perspectivas- según cada clase.
6210416.0,CURTIN UNIVERSITY,MAESTRÍAS EN DIFERENTES ÁREAS,MAESTRÍAS EN DIFERENTES ÁREAS,Australia (Mancomunidad de Australia),,El programa está dirigido a profesionales que deseen realizar estudios de maestría en Curtin University.  - El candidato deberá tener una propuesta de investigación en cualquiera de los siguientes campos: AGRICULTURA- AGUA (CALIDAD- DISTRIBUCIÓN- MANEJO DEL RECURSO)- RECURSOS (MINERALES- HIDROCARBUROS Y ENERGÍA)- SOSTENIBILIDAD- ARQUITECTURA Y URBANISMO- SALUD PÚBLICA- CIENCIAS DEL MAR- INGENIERÍA QUÍMICA Y CIENCIAS QUÍMICAS.  - EL ASPIRANTE DEBE PRIMERO HACER CONTACTO CON UN SUPERVISOR APROPIADO Y OBTENER UNA CARTA O UN CORREO ELECTRÓNICO DE CONFIRMACIÓN DEL SUPERVISOR. EL ENLACE AL REGISTRO DE SUPERVISORES ES: http://research.curtin.edu.au/postgraduate-research/about/register-supervisors/  REQUISITOS: El candidato debe ser mayor de 23 años y menor de 50 años- tener un promedio mínimo de notas de licenciatura o de posgrado de 4-0/5-0 o su equivalencia de 80/100  contar con mínimo 1 año de experiencia profesional en el programa a realizar- tener buenos conocimientos de inglés- con puntaje mínimo en prueba escrita de TOEFL IBT: 79 (con puntaje  READING: 13- LISTENING: 13- SPEAKING: 18 y WRITING: 21).  El candidato debe gozar de buena salud física y mental.,Ofrecer a profesionales colombianos la oportunidad de realizar estudios de maestría en diferentes áreas en Curtin University.
2227715.0,GOBIERNO DE LA INDIA,CIENCIAS NATURALES Y OTRAS BÁSICAS,NATURAL RESOURCE SECURITIES: GOVERNANCE CHALLENGES AND OPPORTUNITIES,India (República de India),,El Programa está dirigido a profesionales en áreas de ingeniería ambiental- biología y ciencias naturales- que se desempeñen en temas de manejo- aprovechamiento y planificación de los recursos naturales REQUISITOS: El participante debe ser menor de 45 años de edad  tener un promedio de notas universitarias de 3-7/5-0  contar con un año de experiencia en el área del curso- gozar de buena salud física y mental. El candidato deberá tener buenos conocimientos de idioma inglés puntaje requerido: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2: 53 a 63 puntos)- u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o posgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés. Deben tener habilidades en computación y no haber recibido capacitación a través del Programa ITEC del Gobierno de la India anteriormente. Los candidatos Preseleccionados serán llamados a entrevista la Embajada de la India- si la Embajada lo considera pertinente.,Brindar a los participantes conocimientos y actualización en los temas del área del curso.
6110015.0,INSTITUTO EUROPEO DE POSGRADO - IEP,MAESTRÍAS EN DIFERENTES ÁREAS,MBA MAESTRÍAS Y ESPECIALIZACIONES EN DIFERENTES ÁREAS,España (Reino de España),05/19/2015 12:00:00 AM,El programa está dirigido a profesionales universitarios que preferiblemente se encuentren laborando en las áreas señaladas en la presente convocatoria. Los candidatos deben contar con la solicitud de admisión al programa escogido.   REQUISITOS: El aspirante debe ser mayor de 23 años y menor de 50 años- tener promedio académico mínimo de 3-7/5-0  experiencia profesional de mínimo 1 año y contar con las herramientas tecnológicas necesarias para llevar a cabo el programa al cual aplica.,Brindar a los participantes la oportunidad de realizar estudios de maestría en los campos señalados con exención de matrícula en el Instituto Europeo de Posgrado- en virtud del convenio suscrito con el ICETEX.
6003512.0,GOBIERNO DE SUIZA,POSGRADO DIFERENTES AREAS,POSGRADO EN DIFERENTES ÁREAS (INVESTIGACIÓN DOCTORADOS O MAESTRÍAS),Suiza (Confederación Helvética),10/24/2011 12:00:00 AM,El programa está dirigido a profesionales con título universitario- con excelentes antecedentes académicos- altamente calificados que se encuentren trabajando en un área considerada como prioritaria para el desarrollo del país. Igualmente que tengan claro el estudio o la investigación a realizar y poseer experiencia de un año- preferiblemente (después de haber obtenido el título universitario) en el área escogida.  REQUISITOS: Haber nacido después del 1o. de enero de 1977 (no ser mayores de 35 años)- Tener un promedio de notas universitarias de 3-7/5-0  gozar de buena salud física y mental- dominar el idioma inglés- alemán- francés o italiano con puntaje equivalente a C1 del Marco Común Europeo.  El idioma depende de la universidad y la región suiza donde desean adelantar estudios y haber realizado contacto con un profesor o el director del programa de posgrado de una universidad suiza elegida- para quienes vayan a realizar estudios de investigación. Las comunicaciones con el Director/Profesor suizo deben adjuntarse a la documentación (no presentar estas comunicaciones es causal de rechazo de la aplicación). La Embajada de Suiza se reserva el derecho de aceptar o rechazar dicha candidatura.   En algunos casos- los estudios / investigaciones se realizan en inglés- lo cual deberá ser certificado por el centro docente suizo respectivo.   El Gobierno suizo dará prioridad a los candidatos que apliquen a una investigación dentro de un Convenio Interuniversitario (Universidad Colombiana- Universidad Suiza)- lo mismo que a quienes tengan méritos suficientes y no cuenten con recursos económicos suficientes.  Por otra parte- el oferente NO aceptará los expedientes de candidatos que ya residen en Suiza o en un tercer país- a pesar de que estén respaldados por las autoridades de su país de origen. Las solicitudes de candidatos que sean residentes en Suiza o hayan iniciado estudios de maestría- serán rechazadas.,Brindar a los profesionales colombianos que cumplan estrictamente con los requisitos- la oportunidad de adelantar estudios de posgrado en Suiza en campos importantes para el desarrollo del país.
2105611.0,GOBIERNO DE JAPON - JICA,CIENCIAS AGROPECUARIAS,METODOLOGÍAS DE EXTENSIÓN DE LA AGRICULTURA ORGÁNICA EN APOYO A LOS AGRICULTORES DE PEQUEÑA ESCALA,Japón (Japón),,El programa está dirigido a profesionales con título universitario en campos relacionados con el tema del curso o a especialistas dedicados a la extensión agrícola como actividad principal- instructores de los centros de capacitación- extensionistas agrícolas- ingenieros agrónomos o agrotécnicos pertenecientes a ONGs que realicen transferencias técnicas de la agricultura orgánica dirigidas a los grupos pequeños productores del área y personas encargadas de la formación e instrucción de estos extensionistas. También va dirigido a productores líderes con un mínimo de dos años de experiencia práctica en actividades grupales de la agricultura orgánica.   REQUISITOS: El aspirante a este programa debe contar con promedio académico universitario de 3-5/5-0- ser menor de 40 años y gozar de buena salud física y mental.,Implementar el programa de extensión técnicas de agricultura orgánica para losproductores de escala pequeña aprobado en la organización involucrada en el programa deextensión de explotación agrícola.
2222714.0,SINGAPORE COOPERATION PROGRAMME (SCPTA),ADMINISTRACIÓN - ECONOMÍA,HUMAN RESOURCE MANAGEMENT IN THE PUBLIC SECTOR,Singapur (República de Singapur),09/29/2014 12:00:00 AM,El programa esta dirigido a profesionales en temas relacionados directamente con el contenido del curso que laboren como altos funcionarios gubernamentales de alto nivel que participen en el manejo de recursos humanos. El aspirante debe ser menor de 50 años- tener un promedio de notas de 3.7/5.0 contar con experiencia profesional mínima de cinco años en temas relacionados con comercio exterior. Los candidatos deben gozar de buena salud física y mental. Conocimientos de idioma inglés con puntaje mínimo: English Test (MET): B1: 40 a 59 puntos- TOEFL: Prueba por Computador: 153 puntos- Prueba por Internet - IBT (superior a 53 puntos) ó IELTS: 4.5),El curso tiene como objetivo compartir la forma como Singapur ha dado forma a su sector público para prestar servicios de calidad para el público a través de la gestión del talento- la mejora de las competencias gente- y los enfoques de la planificación de recursos humanos y el desarrollo- así como el desarrollo de capacidades organizacionales.
2109611.0,OEA - ECUADOR - COSTA RICA,CIENCIAS NATURALES O AGROPECUARIAS,MANEJO DE INFORMACIÓN PARA EL MONITOREO DE ÁREAS PROTEGIDAS EN LATINO AMÉRICA,Ecuador (República del Ecuador),,El programa está dirigido a profesionales en Ciencias Naturales- que laboren en entidades públicas o privadas- en el sector de planificación- monitoreo- recursos naturales- áreas protegidas- ciencias naturales- recursos humanos y afines.   REQUISITOS: El aspirante debe ser mayor de 23 años y menor de 60- tener un promedio de notas universitarias de 3.7/5.0 experiencia profesional mínima de tres años (después de haber obtenido el título universitario) en monitoreo y planeación de áreas protegidas nacionales (Jefe de parques- Oficina de planeación- sistemas de información geográfica) y gozar de buena salud física y mental.  NOTAS IMPORTANTES: Los candidatos deben tener:  > Capacidad de lectura de artículos técnicos en inglés.  > Comprensión básica del portugués para escuchar conferencias y leer documentos técnicos.  > Conocimiento básico de bases de datos- y de  sistemas de información geográfica.  > Tener acceso frecuente a un computador con acceso a Internet y tener acceso administrativo para manejo de servidores remotos y locales.,> Analizar y discutir las estructuras de datos desarrolladas en diferentes países para la gestión de áreas protegidas.> Comparar algunos sistemas de indicadores para evaluar la efectividad de gestión adaptativa y realizar un ejercicio de evaluación con datos nacionales.> Discutir la conveniencia de adaptar y adoptar herramientas para a gestión de información nacional y de diseminación selectiva de datos.> Analizar la forma de integración de servicios de información para compartir datos aplicados al análisis de amenazas e impactos (fuegos y deforestación)> Analizar las tecnologías de información y comunicación disponibles para la armonización de información de las áreas protegidas- las zonas de amortiguación- los sistemas sub>nacionales- los sistemas nacionales- los sistemas regionales y los globales.
2106413.0,OEA - TOP - PAEC,ADMINISTRACIÓN,EVALUACIÓN INSTITUCIONAL DE ORGANIZACIONES PÚBLICAS,PLATAFORMA DE EDUCACIÓN A DISTANCIA TOP - OEA,05/15/2013 12:00:00 AM,El programa está dirigido a profesionales universitarios con título en administración- economía- derecho- ciencias políticas- comunicación social ó carreras directamente relacionadas con el tema del curso que laboren preferiblemente en entidades gubernamentales u ONGs y realicen actividades del sector público- relacionadas con el campo del curso.  REQUISITOS:  El aspirante debe ser menor de 55 años- contar con un año de experiencia profesional (después de haber obtenido el título universitario) en el área del programa- tener un promedio de notas universitarias de 3-7/5-0 y tener conocimientos básicos de procesador de texto (word)- excel y manejo de internet.,Brindar a los participantes los elementos y herramientas necesarias para determinar:> Los resultados que produce y debería producir la organización y quiénes deberían ser sus destinatarios > Los efectos e impactos que deben producir las organizaciones públicas y quiénes deberían ser sus beneficiarios en cada caso concreto > Cuándo debe orientarse la organización a procesos y cuándo a resultados> Cuándo el diseño del organigrama obstaculiza las decisiones > Los tamaños adecuados del organigrama y las plantas de puestos > La jerarquía adecuada de las unidades para su función> Cuáles son los déficit de capacidad institucional que afectan el desempeño > Cómo deben formularse planes de mejora de la capacidad institucional. Esto permitirá al participante identificar problemas organizativos- proponer soluciones y promover la participación en el cambio organizativo.
2209713.0,GOBIERNO DE ISRAEL,INGENIERIA Y AFINES,GESTIÓN AGRO-GREEN:  CONSIDERACIONES AMBIENTALES EN LOS CAMBIOS CLIMÁTICOS,Israel (Estado de Israel),02/19/2013 12:00:00 AM,El programa está dirigido a profesionales universitarios en arquitectura- medio ambiente- agricultura- administración- que laboren en temas relacionados con el programa de estudios.  REQUISITOS:  El aspirante debe ser menor de 50 años- tener un promedio de notas universitarias mínimo de 3-5/5-0 experiencia profesional de un año (despues de haber obtenido el título universitario)- poseer conocimientos de idioma inglés: CBT: 183 > 210 / paper: 513 > 547 / IBT: 65 > 78 / IELTS: 5.5 > 6.0 / MET: B2 y deben gozar de buena salud física y mental.,"El objetivo de este curso es proporcionar ""Agri>Green > Toma de Decisiones"" herramientas para enfrentar los retos actuales y esperados en el sector agrícola.Según el Programa de las Naciones Unidas para el Medio Ambiente (PNUMA)- el sector agrícola se espera que contribuyan a varios retos que implica enormes costos económicos- sociales y ambientales:> La tasa de crecimiento de la productividad agrícola está disminuyendo.>La agricultura ocupa uno de los tres sectores más peligrosos: la exposición a los pesticidas y agroquímicos que causan la intoxicación (3 millones de casos al año) y la muerte (220.000 por año).>La agricultura consume el 70% del agua fresca mundial. Si los patrones actuales de consumo continúan- se espera que el mundo se quede sin agua potable.>Alrededor del 13% de las emisiones globales de gases de efecto invernadero provienen de la agricultura- principalmente debido a su fuerte dependencia de los abonos nitrogenados.>La agricultura es una de las principales causas de pérdida de biodiversidad.>La escasez de tierra y la degradación del suelo asociadas con la agricultura están en aumento."
6207615.0,ATLANTIS UNIVERSITY,MAESTRÍAS EN DIFERENTES ÁREAS,MASTER OF BUSINESS ADMINISTRATION (MBA) - MODALIDAD PRESENCIAL Y EN INGLÉS.,Estados Unidos (Estados Unidos de América),,El programa está dirigido a profesionales colombianos egresados de carreras de administración- negocios- negocios internacionales- comercio exterior- mercadotecnia- ingeniería industrial o licenciados e ingenieros de otras áreas afines con el programa a realizar. Los participantes deben contar con experiencia laboral mínima de 1 año. REQUISITOS: Los aspirantes deben ser mayores de 22 años y menores de 55 años- debe contar con promedio académico superior a 3.7 en la escala de 5.0- laborar actualmente en una empresa- local- nacional o multinacional con visión y proyección global que deseen desarrollar su potencial- tener un impacto positivo en la sociedad y que tengan además aptitudes y experiencia en el ejercicio del liderazgo.  El candidato deberá tener buenos conocimientos de idioma inglés con prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2: 53 a 63 puntos)Perfil del Programa:Enfoque latinoamericano e internacional donde distintas y variadas empresas- países y regiones del mundo son estudiados en base a su potencial- nivel de competitividad- oportunidades y clima de negocios.,El MBA de Atlantis University- es un programa intensivo a nivel de postgrado dirigido a ejecutivos y profesionales internacionales que desean estar actualizados con las más relevantes prácticas de negocios en un mundo caracterizado por la competitividad y la globalización. De la misma manera- el MBA de Atlantis University provee a los ejecutivos de América Latina una visión de negocios amplia y los prepara para asumir puestos de liderazgo en toda una serie de negocios y organizaciones profesionales.Así mismo- este programa viene a reforzar las habilidades de toma de decisiones de los ejecutivos internacionales a través de bases sólidas de negocios aunadas a fundamentos imprescindibles de análisis- tecnología- y liderazgo que les harán estar en una mejor posición competitiva para contribuir intelectual y profesionalmente en su entorno laboral. El MBA busca formar líderes innovadores con conocimientos- habilidades y destrezas necesarias para ser agentes de cambio global- capacitados para posesionarse en la alta dirección de empresas de negocios- industrias y gobierno- con competencias personales y profesionales en las áreas de gerencia- tecnología y liderazgo- respondiendo así a las demandas actuales de un mundo globalizado y competitivo. Bajo el convenio de becas con el ICETEX- el Master of Business Administration de Atlantis University- tiene como objetivo: 1) contribuir al desarrollo de la comunidad Colombiana con un compromiso inquebrantable hacia la cooperación y el entendimiento internacional- y 2) brindarle la oportunidad a líderes Colombianos de formarse como agentes de cambio internacional- emprendedores- culturalmente sensibles y socialmente responsables en sus áreas de desempeño en los sectores tanto público como privado en el extranjero. Aunado al aprendizaje académico- y lo que conlleva el emprendimiento del programa de estudios de maestría en esta casa de estudios norteamericana- bajo el convenio de becas con el ICETEX- Atlantis University busca ofrecer a selectos estudiantes Colombianos los siguientes beneficios: a) Desarrollo del liderazgo b) Una experiencia positiva de aprendizaje cultural c) Desarrollo de habilidades prácticas en un ambiente extranjero que complemente su preparación académica d) Aplicación de habilidades- aptitudes y valores a la práctica y la comunidad e) Preparación para futuras responsabilidades gerenciales y directivas f) Desarrollo de competencias en emprendimiento- liderazgo- sensibilidad cultural- ética y responsabilidad social g) Interacción con un ambiente social- cultural- académico y de aprendizaje- dinámico e internacional h) Interacción con problemáticas sociales a nivel internacional. No son objetivos de los Programas académicos de Atlantis University en convenio con ICETEX: a) Proveer una oportunidad para enriquecer el patrimonio personal del practicante. b) Vacaciones. c) Facilitar una oportunidad de ubicación laboral permanente en otro país. d) Facilitar una oportunidad de residencia permanente en otro país. Atlantis University no promueve la emigración del practicante de su país de origen.
